22:38:18.07,->,ID,,DLC,,,DATA,,,,
22:38:18.07,->,450,8,0,0,0,0,0,0,B,0
22:38:18.10,->,550,8,10,0,0,0,0,0,0,B0
22:38:18.13,->,540,8,2,0,0,1,11,0,1,D7
22:38:18.17,->,541,8,2,0,0,0,0,0,FF,FF
22:38:18.20,->,540,8,6,0,0,0,0,0,0,0
22:38:18.20,->,450,8,0,0,0,0,0,0,B,0
22:38:18.23,->,550,8,10,0,0,0,0,0,0,D0
22:38:18.27,->,450,8,0,0,0,0,0,0,B,0
22:38:18.30,->,540,8,4,0,0,0,0,0,0,0
22:38:18.30,->,540,8,6,0,0,0,0,0,0,0
22:38:18.33,->,550,8,10,0,0,0,0,0,0,50
22:38:18.36,->,450,8,0,0,0,0,0,0,B,0
22:38:18.40,->,540,8,4,0,0,0,0,0,0,0
22:38:18.40,->,540,8,6,0,0,0,0,0,0,0
22:38:18.43,->,550,8,10,0,0,0,0,0,0,90
22:38:18.46,->,450,8,0,0,0,0,0,0,B,0
22:38:18.50,->,540,8,4,0,0,0,0,0,0,0
22:38:18.53,->,540,8,6,0,0,0,0,0,0,0
22:38:18.53,->,550,8,10,0,0,0,0,0,0,D0
22:38:18.56,->,450,8,0,0,0,0,0,0,B,0
22:38:18.60,->,540,8,6,0,0,0,0,0,0,0
22:38:18.63,->,450,8,0,0,0,0,0,0,B,0
22:38:18.63,->,550,8,10,0,0,0,0,0,0,50
22:38:18.66,->,450,8,0,0,0,0,0,0,B,0
22:38:18.70,->,540,8,6,0,0,0,0,0,0,0
22:38:18.73,->,450,8,0,0,0,0,0,0,B,0
22:38:18.73,->,550,8,10,0,0,0,0,0,0,90
22:38:18.76,->,450,8,0,0,0,0,0,0,B,0
22:38:18.80,->,540,8,6,0,0,0,0,0,0,0
22:38:18.88,->,550,8,10,0,0,0,0,0,0,D0
22:38:18.88,->,450,8,0,0,0,0,0,0,B,0
22:38:18.88,->,540,8,2,0,0,1,11,0,1,D7
22:38:18.90,->,540,8,6,0,0,0,0,0,0,0
22:38:18.93,->,550,8,10,0,0,0,0,0,0,50
22:38:18.96,->,450,8,0,0,0,0,0,0,B,0
22:38:18.96,->,540,8,2,0,0,1,11,0,1,D7
22:38:19.00,->,540,8,6,0,0,0,0,0,0,0
22:38:19.03,->,550,8,10,0,0,0,0,0,0,90
22:38:19.06,->,450,8,0,0,0,0,0,0,B,0
22:38:19.09,->,541,8,2,0,0,0,0,0,FF,FF
22:38:19.09,->,540,8,6,0,0,0,0,0,0,0
22:38:19.13,->,550,8,10,0,0,0,0,0,0,D0
22:38:19.16,->,450,8,0,0,0,0,0,0,B,0
22:38:19.19,->,540,8,4,0,0,0,0,0,0,0
22:38:19.23,->,540,8,6,0,0,0,0,0,0,0
22:38:19.23,->,550,8,10,0,0,0,0,0,0,50
22:38:19.31,->,450,8,0,0,0,0,0,0,B,0
22:38:19.31,->,540,8,4,0,0,0,0,0,0,0
22:38:19.31,->,540,8,6,0,0,0,0,0,0,0
22:38:19.34,->,550,8,10,0,0,0,0,0,0,90
22:38:19.36,->,450,8,0,0,0,0,0,0,B,0
22:38:19.39,->,540,8,4,0,0,0,0,0,0,0
22:38:19.43,->,540,8,6,0,0,0,0,0,0,0
22:38:19.43,->,550,8,10,0,0,0,0,0,0,D0
22:38:19.46,->,450,8,0,0,0,0,0,0,B,0
22:38:19.49,->,540,8,4,0,0,0,0,0,0,0
22:38:19.53,->,540,8,6,0,0,0,0,0,0,0
22:38:19.53,->,550,8,10,0,0,0,0,0,0,50
22:38:19.56,->,450,8,0,0,0,0,0,0,B,0
22:38:19.59,->,540,8,6,0,0,0,0,0,0,0
22:38:19.63,->,450,8,0,0,0,0,0,0,B,0
22:38:19.66,->,550,8,10,0,0,0,0,0,0,90
22:38:19.66,->,450,8,0,0,0,0,0,0,B,0
22:38:19.69,->,540,8,6,0,0,0,0,0,0,0
22:38:19.73,->,550,8,10,0,0,0,0,0,0,D0
