22:24:21.95,->,ID,,DLC,,,DATA,,,,,
22:24:21.95,->,540,8,2,0,0,1,11,0,1,5E,
22:24:21.98,->,541,8,2,0,0,0,0,0,FF,FF,
22:24:22.02,->,450,8,0,0,0,0,0,0,B,0,
22:24:22.05,->,540,8,4,0,0,0,0,0,0,0,
22:24:22.08,->,540,8,6,0,0,0,0,0,0,0,----------
22:24:22.08,->,550,8,10,0,0,0,0,0,0,50,
22:24:22.12,->,540,8,2,0,0,1,11,0,1,5E,
22:24:22.15,->,540,8,4,0,0,0,0,0,0,0,
22:24:22.18,->,540,8,6,0,0,0,0,0,0,0,
22:24:22.22,->,550,8,10,0,0,0,0,0,0,90,
22:24:22.22,->,540,8,2,0,0,1,11,0,1,5E,
22:24:22.25,->,540,8,4,0,0,0,0,0,0,0,
22:24:22.28,->,540,8,6,0,0,0,0,0,0,0,
22:24:22.32,->,550,8,10,0,0,0,0,0,0,D0,
22:24:22.32,->,540,8,2,0,0,1,11,0,1,5E,
22:24:22.35,->,540,8,6,0,0,0,0,0,0,0,
22:24:22.38,->,450,8,0,0,0,0,0,0,B,0,
22:24:22.41,->,550,8,10,0,0,0,0,0,0,50,
22:24:22.45,->,540,8,2,0,0,1,11,0,1,5E,
22:24:22.45,->,540,8,6,0,0,0,0,0,0,0,
22:24:22.48,->,450,8,0,0,0,0,0,0,B,0,
22:24:22.51,->,550,8,10,0,0,0,0,0,0,90,
22:24:22.55,->,540,8,2,0,0,1,11,0,1,5E,
22:24:22.58,->,540,8,6,0,0,0,0,0,0,0,
22:24:22.58,->,450,8,0,0,0,0,0,0,B,0,
22:24:22.61,->,550,8,10,0,0,0,0,0,0,D0,
22:24:22.65,->,541,8,2,0,0,0,0,0,FF,FF,
22:24:22.68,->,540,8,6,0,0,0,0,0,0,0,
22:24:22.68,->,550,8,10,0,0,0,0,0,0,50,
22:24:22.71,->,540,8,2,0,0,1,11,0,1,5E,
